text,dep,pos,head_text,head_pos,head_dep,next_verb,entity_label,frequency_in_doc,sentence_loc,sentence_num,label
"approximately 2,500 beds",dobj,NOUN,contain,VERB,relcl,contain,nonent,1,6,1,none
Don Bybee,pobj,PROPN,from,ADP,prep,bought,nonent,1,16,1,none
Associates,conj,PROPN,Bybee,PROPN,pobj,bought,nonent,1,-1,1,none
Salem,pobj,PROPN,of,ADP,prep,bought,GPE,1,-1,1,none
seven western states,pobj,NOUN,in,ADP,prep,contain,nonent,1,-1,1,acqloc
National Guardian Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,12,4,0,none
a number,dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,7,0,none
security services companies,pobj,NOUN,of,ADP,prep,acquired,nonent,1,10,0,none
aggregate revenues,pobj,NOUN,with,ADP,prep,acquired,nonent,1,15,0,none
"about 3,500,000 dlrs",pobj,NOUN,of,ADP,prep,acquired,MONEY,1,-1,0,none
an aggregate cost,pobj,NOUN,for,ADP,prep,acquired,nonent,1,22,0,none
"about 2,700,000 dlrs",pobj,NOUN,of,ADP,prep,acquired,MONEY,1,-1,0,none
It,nsubj,PROPN,said,VERB,ROOT,said,nonent,1,0,1,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,12,2,1,none
guard service companies,dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,4,1,none
C.S.C. Security Gaurd Service,appos,PROPN,companies,NOUN,dobj,acquired,ORG,1,7,1,none
Paramus,pobj,PROPN,of,ADP,prep,acquired,GPE,1,-1,1,none
N.J.,appos,PROPN,Paramus,PROPN,pobj,acquired,GPE,4,47,1,none
Cartel Security Consultants Inc,pobj,PROPN,from,ADP,prep,acquired,ORG,1,-1,1,none
the Guard Services Division,conj,PROPN,Inc,PROPN,pobj,acquired,nonent,1,19,1,none
America,pobj,PROPN,of,ADP,prep,acquired,nonent,1,27,1,none
Wayne,pobj,PROPN,of,ADP,prep,acquired,GPE,1,-1,1,none
N.J.,appos,PROPN,Wayne,PROPN,pobj,acquired,GPE,4,47,1,none
Hackensack,pobj,PROPN,of,ADP,prep,acquired,GPE,1,-1,1,none
N.J.,appos,PROPN,Hackensack,PROPN,pobj,acquired,GPE,4,47,1,none
National Park,pobj,PROPN,of,ADP,prep,acquired,GPE,1,-1,1,none
N.J.,appos,PROPN,Park,PROPN,pobj,acquired,GPE,4,47,1,none
C.S.C. Security Gaurd Service,compound,PROPN,Service,PROPN,appos,acquired,ORG,1,7,1,acquired
": ""Capital Investigations and Protective Agency",conj,PROPN,Wayne,PROPN,pobj,acquired,nonent,0,31,1,acqloc
": ""Meyer Detective Agency Inc",conj,PROPN,Investigations,PROPN,conj,acquired,nonent,0,40,1,drlamt
": ""Custom Security Services",pobj,PROPN,of,ADP,prep,acquired,nonent,0,24,1,seller
": ""Custom Security Services",pobj,PROPN,of,ADP,prep,acquired,nonent,0,24,1,seller
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,2,5,0,none
all the outstanding stock,dobj,NOUN,buy,VERB,xcomp,buy,nonent,1,11,0,none
two associated businesses,conj,NOUN,Inc,PROPN,pobj,buy,nonent,1,20,0,none
undisclosed terms,pobj,NOUN,for,ADP,prep,buy,nonent,1,-1,0,none
Plaid Pantries Inc,pobj,PROPN,of,ADP,prep,buy,ORG,1,16,0,acquired
"Oregon and Washington"" / ""Portland and Seattle"" / ""Portland and Seattle areas",pobj,PROPN,in,ADP,prep,buy,nonent,0,24,0,acqloc
Convenient Food Mart Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
tentatively agreed,ccomp,VERB,said,VERB,ROOT,said,nonent,1,7,0,status
the Portland and Seattle areas,pobj,NOUN,in,ADP,prep,operates,nonent,1,-1,1,none
convenience stores,compound,NOUN,stores,NOUN,dobj,operates,nonent,1,6,1,acqbus
its sale,nsubj,NOUN,affect,VERB,ccomp,affect,nonent,1,3,0,none
it,nsubj,PRON,manages,VERB,relcl,manages,nonent,7,19,0,none
Delhi Petroleum Pty Ltd,pobj,PROPN,of,ADP,prep,affect,ORG,1,6,0,acquired
oil and gas,cc,CCONJ,oil,NOUN,nmod,affect,nonent,1,15,0,acqbus
CSR Ltd,nsubj,PROPN, ,SPACE,dep,said,ORG,1,0,0,seller
which,nsubj,PRON,holds,VERB,relcl,holds,nonent,1,3,1,none
an average 25 pct,dobj,NOUN,holds,VERB,relcl,holds,nonent,1,5,1,none
the Santos Ltd -led Cooper-Eromanga Basin onshore gas and liquids joint ventures,pobj,NOUN,in,ADP,prep,-led,nonent,1,-1,1,none
unit,oprd,NOUN, ,SPACE,dep,sold,nonent,2,26,1,none
April,pobj,PROPN,on,ADP,prep,sold,nonent,1,32,1,none
985 mln dlrs,pobj,NOUN,for,ADP,prep,sold,MONEY,1,28,1,drlamt
Exxon Corp,pobj,PROPN,in,ADP,prep,-led,ORG,1,24,1,purchaser
sold,nsubj,PROPN,sold,VERB,ROOT,sold,nonent,1,1,1,status
British Printing and Communication Corp Plc,pobj,PROPN,in,ADP,prep,sold,nonent,1,18,0,acquired
": ""Hollis Plc",pobj,PROPN,in,ADP,prep,said,nonent,0,28,0,acqbus
,dep,SPACE,said,VERB,ROOT,said,nonent,585,0,0,purchaser
Pergamon Holdings Ltd,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,status
,punct,PUNCT,said,VERB,conj,said,nonent,585,0,1,purchaser
it,nsubj,PRON,received,VERB,ccomp,received,nonent,18,4,0,none
J.P. Industries Inc,pobj,PROPN,from,ADP,prep,received,ORG,1,10,0,none
all,dobj,PRON,buy,VERB,xcomp,buy,nonent,1,16,0,none
its outstanding shares,pobj,NOUN,of,ADP,prep,buy,nonent,1,18,0,none
13.50 dlrs,pobj,NOUN,for,ADP,prep,buy,MONEY,1,22,0,none
Clevite Industries Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,acquired
J.P. Industries Inc,pobj,PROPN,from,ADP,prep,received,ORG,1,10,0,purchaser
received a written proposal,dobj,NOUN,received,VERB,ccomp,received,nonent,1,5,0,status
Clevite's stock,nsubj,NOUN,trading,VERB,ROOT,trading,nonent,1,0,1,none
NASDAQ,pobj,PROPN,on,ADP,prep,trading,nonent,1,5,1,none
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,1,4,0,none
S.C.,appos,PROPN,Beach,PROPN,pobj,acquire,GPE,1,-1,0,none
an exchange,pobj,NOUN,in,ADP,prep,acquire,nonent,1,17,0,none
1.435 Anchor shares,pobj,NOUN,of,ADP,prep,acquire,nonent,1,20,0,none
each Waccamaw share,pobj,NOUN,for,ADP,prep,acquire,nonent,1,-1,0,none
regulatory and shareholder approvals,pobj,NOUN,to,ADP,prep,said,nonent,1,-1,0,none
Waccamaw State Bank,dobj,PROPN,acquire,VERB,xcomp,acquire,ORG,1,9,0,acquired
"Surfside Beach, S.C.",pobj,PROPN,of,ADP,prep,acquire,nonent,1,-1,0,acqloc
Anchor Financial Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
agreed to acquire,xcomp,VERB,agreed,VERB,ccomp,agreed,nonent,1,6,0,status
assets,dobj,NOUN,had,VERB,ROOT,had,nonent,1,2,1,none
22.8 mln dlrs,pobj,NOUN,of,ADP,prep,had,MONEY,1,4,1,none
March,pobj,PROPN,of,ADP,prep,had,nonent,1,9,1,none
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,4,4,0,none
all outstanding shares,dobj,NOUN,purchase,VERB,xcomp,purchase,nonent,1,11,0,none
cash,pobj,NOUN,in,ADP,prep,proposed,nonent,1,-1,0,none
Spectrum Holding Corp,pobj,PROPN,of,ADP,prep,purchase,ORG,1,15,0,acquired
13 mln dlrs,pobj,NOUN,for,ADP,prep,proposed,MONEY,1,21,0,drlamt
LVI Group Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
agreed in principle,pobj,NOUN,in,ADP,prep,agreed,nonent,1,6,0,status
an additional 10 mln dlrs,nsubj,NOUN,become,VERB,ccomp,become,MONEY,1,2,1,none
common stock,pobj,NOUN,in,ADP,prep,become,nonent,1,8,1,none
seven mln dlrs,conj,NOUN,dlrs,NOUN,nsubj,become,MONEY,1,11,1,none
notes,pobj,NOUN,in,ADP,prep,become,nonent,1,15,1,none
certain minimum future earnings,dobj,NOUN,has,VERB,advcl,has,nonent,1,-1,1,none
Harris Associates L.P.,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,-1,0,none
a Chicago investment advisor,appos,NOUN,L.P.,PROPN,nsubj,said,nonent,1,-1,0,none
it,nsubj,PRON,raised,VERB,ccomp,raised,nonent,9,8,0,none
the equivalent,pobj,NOUN,to,ADP,prep,raised,nonent,1,17,0,none
"466,754 shares",pobj,NOUN,of,ADP,prep,raised,nonent,1,-1,0,none
9.1 pct,conj,NOUN,shares,NOUN,pobj,raised,PERCENT,1,23,0,none
the total,pobj,NOUN,of,ADP,prep,raised,nonent,1,26,0,none
"335,800 shares",pobj,NOUN,from,ADP,prep,raised,nonent,1,-1,0,none
6.7 pct,conj,NOUN,shares,NOUN,pobj,raised,PERCENT,1,-1,0,none
Builders Transport Inc,pobj,PROPN,in,ADP,prep,raised,ORG,1,13,0,acquired
raised its stake,ccomp,VERB,said,VERB,ROOT,said,nonent,1,9,0,status
a filing,pobj,NOUN,In,ADP,prep,said,nonent,1,1,1,none
the Securities and Exchange Commission,pobj,PROPN,with,ADP,prep,said,ORG,1,-1,1,none
it,nsubj,PRON,bought,VERB,ccomp,bought,nonent,9,11,1,none
"36,700 Builders Transport common shares",dobj,NOUN,bought,VERB,ccomp,bought,nonent,1,13,1,none
Feb,pobj,PROPN,on,ADP,prep,bought,nonent,2,19,1,none
17 dlrs,pobj,NOUN,at,ADP,prep,bought,MONEY,1,22,1,none
it,nsubj,PRON,signed,VERB,ccomp,signed,nonent,2,4,0,none
a letter,dobj,NOUN,signed,VERB,ccomp,signed,nonent,1,7,0,none
substantially all,dobj,PRON,acquire,VERB,acl,acquire,nonent,1,13,0,none
the assets,pobj,NOUN,of,ADP,prep,acquire,nonent,1,16,0,none
"COMPUTER ACCESS CORP"" / ""Computer Access Corp",pobj,PROPN,of,ADP,prep,acquire,nonent,0,19,0,acquired
undisclosed,amod,ADJ,terms,NOUN,pobj,acquire,nonent,1,23,0,drlamt
Lotus Development Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
letter of intent,pobj,NOUN,of,ADP,prep,acquire,nonent,1,8,0,status
Computer Asscess,nsubj,PROPN,makes,VERB,ROOT,makes,ORG,1,0,1,none
BlueFish full-text search and retrieval software,dobj,NOUN,makes,VERB,ROOT,makes,nonent,1,3,1,none
International Business Machines Corp,pobj,PROPN,for,ADP,prep,makes,ORG,1,10,1,none
full-text search and retrieval software,nmod,NOUN,software,NOUN,dobj,makes,nonent,1,4,1,acqbus
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,1,4,0,none
cash,pobj,NOUN,of,ADP,prep,acquire,nonent,1,-1,0,none
Faygo Beverages Inc,dobj,PROPN,acquire,VERB,xcomp,acquire,ORG,1,8,0,acquired
undisclosed,amod,ADJ,amount,NOUN,pobj,acquire,nonent,1,13,0,drlamt
National Beverage Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
agreed to acquire,xcomp,VERB,agreed,VERB,ccomp,agreed,nonent,1,5,0,status
revenues,dobj,NOUN,has,VERB,ccomp,has,nonent,1,2,1,none
excess,pobj,NOUN,in,ADP,prep,has,nonent,1,4,1,none
100 mln dlrs,pobj,NOUN,of,ADP,prep,has,nonent,1,-1,1,none
it,nsubj,PRON,entered,VERB,ccomp,entered,nonent,2,6,0,none
an agreement,dobj,NOUN,entered,VERB,ccomp,entered,nonent,1,8,0,none
Hawaiian dairy operations,compound,NOUN,operations,NOUN,dobj,sell,nonent,1,13,0,acquired
13 mln dlrs,nummod,NUM,cash,NOUN,pobj,sell,MONEY,1,21,0,drlamt
Foremost Foods Inc,pobj,PROPN,to,ADP,dative,sell,ORG,1,17,0,purchaser
Knudsen Foods Inc,compound,PROPN,Inc,PROPN,nsubj,said,ORG,1,2,0,seller
agreement to sell,aux,PART,sell,VERB,acl,sell,nonent,1,9,0,status
The company,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,0,1,none
the purchase price,nsubj,NOUN,is,AUX,ccomp,said,nonent,1,3,1,none
adjustment,pobj,NOUN,to,ADP,prep,said,nonent,1,9,1,none
the entire transaction,nsubj,NOUN,is,AUX,conj,said,nonent,1,11,1,none
approval,pobj,NOUN,to,ADP,prep,said,nonent,1,17,1,none
the U.S. Bankruptcy Court,pobj,PROPN,by,ADP,prep,said,nonent,1,19,1,none
the Central District,pobj,PROPN,for,ADP,prep,said,nonent,1,24,1,none
California,pobj,PROPN,of,ADP,prep,said,nonent,1,-1,1,none
its oil and gas unit,nsubj,NOUN,closed,VERB,ccomp,closed,nonent,1,3,0,none
the acquisition,dobj,NOUN,closed,VERB,ccomp,closed,nonent,1,9,0,none
a 47 pct working interest,pobj,NOUN,of,ADP,prep,working,nonent,1,12,0,none
about 22.5 mln dlrs,pobj,NOUN,for,ADP,prep,closed,MONEY,1,29,0,none
cash,pobj,NOUN,in,ADP,prep,closed,nonent,1,-1,0,none
Broussard oil and gas field,pobj,NOUN,in,ADP,prep,working,nonent,1,19,0,acquired
22.5 mln dlrs,pobj,NOUN,for,ADP,prep,closed,nonent,1,30,0,drlamt
Nerco Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
Davis Oil Co,pobj,PROPN,from,ADP,prep,closed,ORG,1,25,0,seller
it,nsubj,PRON,estimates,VERB,ccomp,estimates,nonent,4,2,1,none
the field's total proved developed and undeveloped reserves,dobj,NOUN,estimates,VERB,ccomp,estimates,nonent,1,4,1,none
24 billion cubic feet,pobj,NOUN,at,ADP,prep,estimates,QUANTITY,1,-1,1,none
which,nsubj,PRON,doubles,VERB,relcl,doubles,nonent,1,22,1,none
the company's previous reserves,dobj,NOUN,doubles,VERB,relcl,doubles,nonent,1,-1,1,none
natural gas,pobj,NOUN,of,ADP,prep,doubles,nonent,1,-1,1,acqbus
the Securities and Exchange Commission,dobj,PROPN,told,VERB,ROOT,told,ORG,1,7,0,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,9,12,0,none
a 7.7 pct stake,dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,14,0,none
Atcor Inc.,pobj,PROPN,in,ADP,prep,acquired,ORG,1,19,0,none
Great American Management and Investment Inc,conj,PROPN,Management,PROPN,nsubj,told,ORG,1,0,0,purchaser
acquired,ccomp,VERB,told,VERB,ROOT,told,nonent,1,13,0,status
it,nsubj,PRON,bought,VERB,ccomp,bought,nonent,9,3,1,none
the stake,dobj,NOUN,bought,VERB,ccomp,bought,nonent,1,5,1,none
investment,pobj,NOUN,for,ADP,prep,bought,nonent,1,-1,1,none
Great American Management and Investment Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,1,purchaser
a New York investment partnership,appos,NOUN,Co,PROPN,nsubj,told,nonent,1,-1,0,none
the Securities and Exchange Commission,dobj,PROPN,told,VERB,ROOT,told,ORG,1,8,0,none
it,nsubj,PRON,bought,VERB,ccomp,bought,nonent,8,13,0,none
a 6.8 pct stake,dobj,NOUN,bought,VERB,ccomp,bought,nonent,1,15,0,none
IPCO Corp,prep,PROPN,stake,NOUN,dobj,bought,ORG,1,20,0,acquired
MP Co,nsubj,PROPN,told,VERB,ROOT,told,ORG,1,-1,0,purchaser
The partnership,nsubj,NOUN,said,VERB,ROOT,said,nonent,2,0,1,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,8,3,1,none
"346,600 IPCO shares",dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,-1,1,none
4.9 mln dlrs,dobj,NOUN,paying,VERB,advcl,paying,MONEY,1,-1,1,none
it,nsubj,PRON,believed,VERB,advcl,believed,nonent,8,3,1,none
the securities,nsubj,NOUN,be,AUX,ccomp,believed,nonent,1,15,1,none
an attractive investment opportunity,attr,NOUN,be,AUX,ccomp,believed,nonent,1,-1,1,none
it,nsubj,PRON,received,VERB,ccomp,received,nonent,4,5,0,none
the company,dobj,NOUN,acquire,VERB,acl,acquire,nonent,1,-1,0,none
its announcement,pobj,NOUN,following,VERB,prep,following,nonent,1,13,0,none
it,nsubj,PRON,retained,VERB,acl,retained,nonent,4,5,0,none
investment dealers,dobj,NOUN,retained,VERB,acl,retained,nonent,1,21,0,none
offers,dobj,NOUN,solicit,VERB,advcl,solicit,nonent,2,25,0,none
all outstanding common shares,pobj,NOUN,for,ADP,prep,solicit,nonent,1,-1,0,none
Cadillac Fairview Corp Ltd,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,acquired
received proposals,dobj,NOUN,received,VERB,ccomp,received,nonent,1,6,0,status
the offers,nsubj,NOUN,are,AUX,ccomp,said,nonent,1,3,1,none
clarification,pobj,NOUN,to,ADP,prep,said,nonent,1,8,1,none
negotiation,conj,NOUN,clarification,NOUN,pobj,said,nonent,1,10,1,none
no further details,dobj,NOUN,offered,VERB,conj,offered,nonent,1,-1,1,none
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,5,5,0,none
16.25 mln dlrs cash,pobj,NOUN,for,ADP,prep,sell,nonent,1,-1,0,none
Western Plastics Corp,compound,PROPN,Corp,PROPN,compound,sell,ORG,1,11,0,acquired
16.25 mln dlrs,nummod,NUM,cash,NOUN,pobj,sell,MONEY,1,21,0,drlamt
Globe Machine Manufacturing Co,pobj,PROPN,to,ADP,dative,sell,ORG,1,16,0,purchaser
Hepworth Ceramic Holdings Plc,nsubj,PROPN, ,SPACE,dep,said,ORG,1,0,0,seller
which,nsubj,PRON,makes,VERB,relcl,makes,nonent,1,1,1,none
net assets,dobj,NOUN,has,VERB,ROOT,has,nonent,1,9,1,none
19.3 mln dlrs,pobj,NOUN,of,ADP,prep,has,MONEY,1,12,1,none
a 1986 pre-tax profit,dobj,NOUN,reported,VERB,conj,reported,nonent,1,17,1,none
polystyrene foam and container products,dobj,NOUN,makes,VERB,relcl,makes,nonent,1,3,1,acqbus
A takeover battle,nsubj,NOUN,began,VERB,ROOT,began,nonent,1,0,0,none
a 4.3 billion dlr offer,dobj,NOUN,announced,VERB,advcl,announced,nonent,1,15,0,none
it,nsubj,PRON,continuing,VERB,ccomp,continuing,nonent,14,23,0,none
Dome Petroleum Ltd,compound,PROPN,Ltd,PROPN,pobj,burdened,ORG,1,7,0,acquired
4.3 billion dlr,advcl,VERB, ,SPACE,dep,said,MONEY,1,16,0,drlamt
TransCanada PipeLines Ltd,nsubj,PROPN, ,SPACE,dep,began,ORG,1,11,0,purchaser
"takeover battle"" / ""continuing talks with other possible buyers",dobj,NOUN,continuing,VERB,ccomp,continuing,nonent,0,26,0,status
Companies,nsubj,PROPN,include,VERB,ROOT,mentioned,nonent,1,0,1,none
market speculation,pobj,NOUN,in,ADP,prep,mentioned,nonent,1,3,1,none
potential buyers,pobj,NOUN,as,ADP,prep,mentioned,nonent,1,6,1,none
Imperial Oil Ltd,dobj,PROPN,include,VERB,ROOT,include,ORG,1,11,1,none
which,nsubjpass,PRON,owned,VERB,relcl,owned,nonent,5,14,1,none
Exxon Corp,pobj,PROPN,by,ADP,agent,owned,ORG,1,20,1,none
which,nsubjpass,PRON,owned,VERB,relcl,owned,nonent,5,14,1,none
the conglomerate,pobj,NOUN,by,ADP,agent,owned,nonent,1,32,1,none
Canadian Pacific Ltd,appos,PROPN,conglomerate,NOUN,pobj,owned,ORG,1,34,1,none
British Petroleum Co Plc,appos,PROPN,Ltd,PROPN,dobj,include,ORG,1,38,1,none
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,5,5,0,none
a new company,pobj,NOUN,into,ADP,prep,called,nonent,1,17,0,none
SAFCO International Ltd.,oprd,PROPN,called,VERB,relcl,called,ORG,1,23,0,none
South Atlantic Financial Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,acquired
Independence Holding Co,pobj,PROPN,with,ADP,prep,merge,ORG,1,13,0,purchaser
agreed in principle,pobj,NOUN,in,ADP,prep,agreed,nonent,1,7,0,status
It,nsubj,PROPN,said,VERB,ROOT,said,nonent,2,0,1,none
each South Atlantic share,nsubjpass,NOUN,exchanged,VERB,ccomp,exchanged,nonent,1,2,1,none
one SAFCO share,pobj,NOUN,for,ADP,prep,exchanged,nonent,1,10,1,none
2.822 SAFCO shares,pobj,NOUN,for,ADP,prep,exchanged,nonent,1,-1,1,none
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,7,4,0,none
the assets,dobj,NOUN,sell,VERB,xcomp,sell,nonent,1,8,0,none
operations,conj,NOUN,assets,NOUN,dobj,sell,nonent,1,11,0,none
Borman's Inc,pobj,PROPN,to,ADP,dative,sell,ORG,1,19,0,none
Salt Lake City Division,pobj,PROPN,of,ADP,prep,sell,nonent,1,14,0,acquired
undisclosed,prep,ADP,sell,VERB,xcomp,sell,nonent,1,22,0,drlamt
Borman's Inc,case,PROPN,Borman,PROPN,poss,sell,ORG,1,19,0,purchaser
Safeway Stores Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,seller
agreed to sell,xcomp,VERB,agreed,VERB,ccomp,agreed,nonent,1,5,0,status
The division,nsubj,NOUN,includes,VERB,ccomp,includes,nonent,1,0,1,none
five states,pobj,NOUN,in,ADP,prep,includes,nonent,1,-1,1,none
which,pobj,PRON,of,ADP,prep,includes,nonent,1,11,1,none
distribution and manufacturing facilities,pobj,NOUN,with,ADP,dep,includes,nonent,1,-1,1,none
supermarkets,amod,VERB,supermarkets,NOUN,dobj,includes,nonent,1,5,1,acqbus
"Utah, Idaho and Wyoming",pobj,PROPN,in,ADP,prep,includes,nonent,1,-1,1,acqloc
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,4,5,0,none
"Huron, South Dakota, pork plant",punct,PUNCT,Huron,PROPN,nmod,sell,nonent,1,12,0,acquired
undisclosed,pobj,PROPN,to,ADP,dative,sell,nonent,1,22,0,drlamt
Huron Dressed Beef,pobj,PROPN,to,ADP,dative,sell,ORG,1,-1,0,purchaser
Swift Independent Packing Co,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,seller
agreed in principle,pobj,NOUN,in,ADP,prep,agreed,nonent,1,6,0,status
which,pobj,PRON,under,ADP,prep,take,nonent,1,7,0,none
Borg-Warner Corp,dobj,PROPN,take,VERB,relcl,take,ORG,1,14,0,none
a 4.23 billion dlr transaction,pobj,NOUN,in,ADP,prep,take,nonent,1,-1,0,none
a GAF spokesman,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,23,0,none
Borg-Warner Corp,punct,PROPN,Corp,PROPN,dobj,take,ORG,1,14,0,acquired
4.23 billion dlr,compound,NUM,billion,NUM,nummod,take,MONEY,1,19,0,drlamt
Merrill Lynch Capital Partners,nsubj,PROPN,take,VERB,relcl,take,ORG,2,8,0,purchaser
GAF Corp,nsubj,PROPN,studying,VERB,ccomp,studying,ORG,1,0,0,seller
studying an agreement,dobj,NOUN,studying,VERB,ccomp,studying,nonent,1,3,0,status
The spokesman,nsubj,NOUN,had,VERB,ROOT,had,nonent,1,0,1,none
no further comment,dobj,NOUN,had,VERB,ROOT,had,nonent,1,-1,1,none
it,dobj,PRON,said,VERB,ROOT,said,nonent,3,3,0,none
San/Bar Corp,nsubj,PROPN,agreed,VERB,conj,agreed,ORG,1,5,0,none
San/Bar,dobj,PROPN,merge,VERB,xcomp,merge,nonent,4,5,0,none
San/Bar Corp,punct,PROPN,Corp,PROPN,nsubj,agreed,ORG,1,5,0,acquired
Resdel Industries,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
they,nsubj,PRON,entered,VERB,ccomp,entered,nonent,2,10,0,none
20.10 dlrs,pobj,NOUN,at,ADP,prep,acquire,MONEY,3,24,0,none
common share,pobj,NOUN,per,ADP,prep,acquire,nonent,2,27,0,none
cash,pobj,NOUN,in,ADP,prep,acquire,nonent,2,-1,0,none
Revlon Group Inc,conj,PROPN,Group,PROPN,conj,said,ORG,1,5,0,acquired
MacAndrews and Forbes Group,conj,PROPN,MacAndrews,PROPN,nsubj,said,nonent,1,0,0,purchaser
entered into a definitive mergewr agreement,compound,NOUN,agreement,NOUN,pobj,acquire,nonent,1,12,0,status
it,nsubj,PRON,increased,VERB,ccomp,increased,nonent,15,2,1,none
its offer,dobj,NOUN,increased,VERB,ccomp,increased,nonent,1,4,1,none
all Revlon common shares,dobj,NOUN,purchase,VERB,acl,purchase,nonent,1,8,1,none
20.10 dlrs,pobj,NOUN,to,ADP,prep,increased,MONEY,3,13,1,none
its April 1 offer,pobj,NOUN,from,ADP,prep,increased,nonent,1,18,1,none
18.50 dlrs,pobj,NOUN,of,ADP,prep,increased,MONEY,2,23,1,none
it,nsubj,PRON,expects,VERB,ccomp,expects,nonent,7,6,0,none
about two billion dlrs,pobj,NOUN,for,ADP,prep,sell,MONEY,1,18,0,none
about two months,pobj,NOUN,in,ADP,prep,sell,DATE,1,-1,0,none
Celeron Corp,nmod,PROPN,subsidiary,NOUN,dobj,sell,ORG,1,11,0,acquired
oil and gas,conj,NOUN,oil,NOUN,nmod,sell,nonent,2,13,0,acqbus
Goodyear Tire and Rubber Co,conj,PROPN,Tire,PROPN,nsubj,said,ORG,1,0,0,seller
expects to sell,xcomp,VERB,expects,VERB,ccomp,expects,nonent,1,7,0,status
the company's annual meeting,pobj,NOUN,After,ADP,prep,said,nonent,1,-1,1,none
Rober Mercer,nsubj,PROPN,said,VERB,ROOT,said,PERSON,1,-1,1,none
Goodyear's chairman,appos,NOUN,Mercer,PROPN,nsubj,said,nonent,1,7,1,none
chief executive officer,conj,NOUN,chairman,NOUN,appos,said,nonent,1,-1,1,none
it,nsubj,PRON,signed,VERB,ccomp,signed,nonent,4,3,0,none
Centurion Savings and Loan Association,dobj,PROPN,acquire,VERB,acl,acquire,ORG,1,-1,0,acquired
"ATLANTIC FINANCIAL"" / ""Atlantic Financial",nsubj,PROPN,said,VERB,ROOT,said,nonent,0,0,0,purchaser
definitive agreement,dobj,NOUN,signed,VERB,ccomp,signed,nonent,1,6,0,status
the purchase price,dobj,NOUN,disclose,VERB,ROOT,disclose,nonent,1,-1,1,none
it,nsubj,PRON,reached,VERB,ccomp,reached,nonent,3,5,0,none
a preliminary merger agreement,dobj,NOUN,reached,VERB,ccomp,reached,nonent,1,8,0,none
MCC-Presidential Inc.,pobj,PROPN,with,ADP,prep,reached,ORG,1,13,0,none
First Montauk Securities Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
it,nsubj,PRON,completed,VERB,ccomp,completed,nonent,3,3,0,none
the previously-announced disposition,dobj,NOUN,completed,VERB,ccomp,completed,nonent,1,6,0,none
an investment group,pobj,NOUN,to,ADP,prep,led,nonent,1,15,0,none
computer systems division,compound,NOUN,systems,NOUN,compound,completed,nonent,1,11,0,acquired
Rotan Mosle Technology Partners Ltd,compound,PROPN,Ltd,PROPN,compound,led,ORG,1,23,0,purchaser
Digicon Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,seller
completed,ccomp,VERB,said,VERB,ROOT,said,nonent,1,5,0,status
it,nsubj,PRON,acquire,VERB,ccomp,acquire,nonent,3,4,0,none
all shares,dobj,NOUN,acquire,VERB,ccomp,acquire,nonent,1,7,0,none
it,nsubj,PRON,own,ADJ,relcl,acquire,nonent,3,4,0,none
an arrangement,pobj,NOUN,under,ADP,prep,approved,nonent,1,19,0,none
